fecha_hora,ritmo_cardiaco,velocidad,distancia,tipo_terreno,fuente_registro,id_tipo_actividad,id_usuario,id_ubicacion
2023-11-23 20:39:13.441307,93,6.92,6.06,Tierra,Celular,1,1,562
2023-11-23 20:39:18.441307,144,8.92,22.38,Tierra,Celular,1,1,562
2023-11-23 20:39:23.441307,93,11.07,37.06,Tierra,Celular,1,1,562
2023-11-23 20:39:28.441307,94,10.07,43.35,Tierra,Celular,1,1,562
2023-11-23 20:39:33.441307,160,11.18,54.730000000000004,Tierra,Celular,1,1,562
2023-11-23 20:39:38.441307,136,5.05,63.82000000000001,Tierra,Celular,1,1,562
2023-11-23 20:39:43.441307,144,9.37,79.85000000000001,Tierra,Celular,1,1,562
2023-11-23 20:39:48.441307,141,8.4,89.13000000000001,Tierra,Celular,1,1,562
2023-11-23 20:39:53.441307,80,5.96,94.58000000000001,Tierra,Celular,1,1,562
2023-11-23 20:39:58.441307,134,5.44,98.28000000000002,Tierra,Celular,1,1,562
2023-11-23 20:40:03.441307,115,13.63,111.89000000000001,Tierra,Celular,1,1,562
2023-11-23 20:40:08.441307,105,9.22,117.37000000000002,Tierra,Celular,1,1,562
2023-11-23 20:40:13.441307,131,13.63,124.37000000000002,Tierra,Celular,1,1,562
2023-11-23 20:40:18.441307,145,9.95,139.44000000000003,Tierra,Celular,1,1,562
2023-11-23 20:40:23.441307,90,8.29,149.34000000000003,Tierra,Celular,1,1,562
2023-11-23 20:40:28.441307,125,14.95,157.63000000000002,Tierra,Celular,1,1,562
2023-11-23 20:40:33.441307,138,8.29,170.85000000000002,Tierra,Celular,1,1,562
2023-11-23 20:40:38.441307,88,8.75,183.12000000000003,Tierra,Celular,1,1,562
2023-11-23 20:40:43.441307,115,7.99,188.09000000000003,Tierra,Celular,1,1,562
2023-11-23 20:40:48.441307,82,9.58,198.58000000000004,Tierra,Celular,1,1,562
2023-11-23 20:40:53.441307,140,11.01,204.48000000000005,Tierra,Celular,1,1,562
2023-11-23 20:40:58.441307,82,10.46,210.87000000000003,Tierra,Celular,1,1,562
2023-11-23 20:41:03.441307,149,6.68,215.63000000000002,Tierra,Celular,1,1,562
2023-11-23 20:41:08.441307,159,12.27,226.63000000000002,Tierra,Celular,1,1,562
2023-11-23 20:41:13.441307,148,14.16,239.67000000000002,Tierra,Celular,1,1,562
2023-11-23 20:41:18.441307,101,10.25,256.16,Tierra,Celular,1,1,562
2023-11-23 20:41:23.441307,108,6.59,268.69,Tierra,Celular,1,1,562
2023-11-23 20:41:28.441307,150,12.59,284.95,Tierra,Celular,1,1,562
2023-11-23 20:41:33.441307,125,11.82,306.34999999999997,Tierra,Celular,1,1,562
2023-11-23 20:41:38.441307,134,13.96,321.93999999999994,Tierra,Celular,1,1,562
2023-11-23 20:41:43.441307,118,8.45,333.54999999999995,Tierra,Celular,1,1,562
2023-11-23 20:41:48.441307,149,11.58,355.94999999999993,Tierra,Celular,1,1,562
2023-11-23 20:41:53.441307,85,7.63,363.29999999999995,Tierra,Celular,1,1,562
2023-11-23 20:41:58.441307,138,10.78,376.29999999999995,Tierra,Celular,1,1,562
2023-11-23 20:42:03.441307,137,8.67,387.34999999999997,Tierra,Celular,1,1,562
2023-11-23 20:42:08.441307,154,10.1,396.7,Tierra,Celular,1,1,562
2023-11-23 20:42:13.441307,87,9.71,405.53,Tierra,Celular,1,1,562
2023-11-23 20:42:18.441307,131,14.45,415.25,Tierra,Celular,1,1,562
2023-11-23 20:42:23.441307,102,5.46,419.85,Tierra,Celular,1,1,562
2023-11-23 20:42:28.441307,142,5.66,425.28000000000003,Tierra,Celular,1,1,562
2023-11-23 20:42:33.441307,82,5.04,434.52000000000004,Tierra,Celular,1,1,562
2023-11-23 20:42:38.441307,111,13.61,450.98,Tierra,Celular,1,1,562
2023-11-23 20:42:43.441307,91,8.69,460.37,Tierra,Celular,1,1,562
2023-11-23 20:42:48.441307,116,13.69,477.04,Tierra,Celular,1,1,562
2023-11-23 20:42:53.441307,80,11.84,490.93,Tierra,Celular,1,1,562
2023-11-23 20:42:58.441307,98,13.02,509.24,Tierra,Celular,1,1,562
